"COLUMN_ID","SCHEMA","TABLE","COLUMN","DATA_TYPE","DATA_LENGTH","DATA_PRECISION","DATA_SCALE","NULLABLE"
14,"AIRFLOW","DUMP_V_APP_USER2DEVICE_HST","APP_USER_CREATED","DATE",7,,,"Y"
15,"AIRFLOW","DUMP_V_APP_USER2DEVICE_HST","APP_USER_LAST_MODIFIED","DATE",7,,,"Y"
1,"AIRFLOW","DUMP_V_APP_USER2DEVICE_HST_INST","DEVICE_ID","VARCHAR2",1020,,,"Y"
2,"AIRFLOW","DUMP_V_APP_USER2DEVICE_HST_INST","APP_ID","VARCHAR2",200,,,"Y"
3,"AIRFLOW","DUMP_V_APP_USER2DEVICE_HST_INST","STATUS","VARCHAR2",1020,,,"Y"
4,"AIRFLOW","DUMP_V_APP_USER2DEVICE_HST_INST","TIME_FROM","DATE",7,,,"Y"
5,"AIRFLOW","DUMP_V_APP_USER2DEVICE_HST_INST","TIME_TO","DATE",7,,,"Y"
1,"AIRFLOW","GA_195292467_ALL_SUBDOMENS_URL","D_DATE","DATE",7,,,"Y"
2,"AIRFLOW","GA_195292467_ALL_SUBDOMENS_URL","SUBSCRIPTION_ID","VARCHAR2",200,,,"Y"
3,"AIRFLOW","GA_195292467_ALL_SUBDOMENS_URL","CAMPAIGN","VARCHAR2",500,,,"Y"
4,"AIRFLOW","GA_195292467_ALL_SUBDOMENS_URL","SOURCE","VARCHAR2",500,,,"Y"
5,"AIRFLOW","GA_195292467_ALL_SUBDOMENS_URL","MEDIUM","VARCHAR2",500,,,"Y"
6,"AIRFLOW","GA_195292467_ALL_SUBDOMENS_URL","KEYWORD","VARCHAR2",500,,,"Y"
7,"AIRFLOW","GA_195292467_ALL_SUBDOMENS_URL","USERS","NUMBER",22,,,"Y"
1,"AIRFLOW","MPR_STAGE_1","PRODUCT_ID","VARCHAR2",100,,,"Y"
2,"AIRFLOW","MPR_STAGE_1","NAME","VARCHAR2",4031,,,"Y"
3,"AIRFLOW","MPR_STAGE_1","CATEGORY_ID","VARCHAR2",200,,,"Y"
4,"AIRFLOW","MPR_STAGE_1","CATEGORY_NAME","VARCHAR2",1020,,,"Y"
5,"AIRFLOW","MPR_STAGE_1","PUBLISHER_ID","VARCHAR2",200,,,"Y"
6,"AIRFLOW","MPR_STAGE_1","PUBLISHER_NAME","VARCHAR2",1020,,,"Y"
7,"AIRFLOW","MPR_STAGE_1","PUBLISHER_INN","VARCHAR2",500,,,"Y"
8,"AIRFLOW","MPR_STAGE_1","PUBLISHER_KPP","VARCHAR2",500,,,"Y"
9,"AIRFLOW","MPR_STAGE_1","USER_ID","VARCHAR2",100,,,"Y"
10,"AIRFLOW","MPR_STAGE_1","NN_BY_APP","NUMBER",22,,,"Y"
11,"AIRFLOW","MPR_STAGE_1","NN_BY_USER","NUMBER",22,,,"Y"
12,"AIRFLOW","MPR_STAGE_1","D_DATE","DATE",7,,,"Y"
13,"AIRFLOW","MPR_STAGE_1","YYYY_MM","VARCHAR2",7,,,"Y"
14,"AIRFLOW","MPR_STAGE_1","YYYY_Q","VARCHAR2",6,,,"Y"
15,"AIRFLOW","MPR_STAGE_1","WEEKDAY","VARCHAR2",16,,,"Y"
16,"AIRFLOW","MPR_STAGE_1","DD","NUMBER",22,,,"Y"
17,"AIRFLOW","MPR_STAGE_1","PERIOD","VARCHAR2",45,,,"Y"
18,"AIRFLOW","MPR_STAGE_1","SUBSYSTEM_ID","VARCHAR2",15,,,"Y"
19,"AIRFLOW","MPR_STAGE_1","GATEWAY_ID","VARCHAR2",32767,,,"Y"
20,"AIRFLOW","MPR_STAGE_1","DOPLATA","NUMBER",22,,,"Y"
21,"AIRFLOW","MPR_STAGE_1","IS_SERVICE_APP","VARCHAR2",6,,,"Y"
22,"AIRFLOW","MPR_STAGE_1","PAYMENT_PARTNER_ID","VARCHAR2",100,,,"Y"
23,"AIRFLOW","MPR_STAGE_1","PAYMENT_ID","VARCHAR2",100,,,"Y"
24,"AIRFLOW","MPR_STAGE_1","SUBSCRIPTION_ID","VARCHAR2",50,,,"Y"
25,"AIRFLOW","MPR_STAGE_1","PAYMENTS","NUMBER",22,,,"Y"
26,"AIRFLOW","MPR_STAGE_1","EVOTORSHARE","NUMBER",22,,,"Y"
27,"AIRFLOW","MPR_STAGE_1","SALESSHARE","NUMBER",22,,,"Y"
28,"AIRFLOW","MPR_STAGE_1","PUBLISHERSHARE","NUMBER",22,,,"Y"
29,"AIRFLOW","MPR_STAGE_1","VATSUM","NUMBER",22,,,"Y"
